iter	Passed	Remaining
901	2053	223
902	2063	221
903	2066	219
904	2068	217
905	2070	214
906	2073	212
907	2075	210
908	2078	208
909	2080	205
910	2082	203
911	2084	201
912	2087	198
913	2088	196
914	2090	194
915	2093	191
916	2095	189
917	2097	187
918	2099	185
919	2102	182
920	2104	180
921	2106	178
922	2108	175
923	2110	173
924	2112	171
925	2114	169
926	2117	166
927	2119	164
928	2121	162
929	2123	159
930	2125	157
931	2127	155
932	2128	152
933	2131	150
934	2133	148
935	2135	146
936	2137	143
937	2139	141
938	2141	139
939	2143	136
940	2145	134
941	2147	132
942	2149	129
943	2151	127
944	2153	125
945	2155	123
946	2157	120
947	2159	118
948	2161	116
949	2163	113
950	2165	111
951	2167	109
952	2169	107
953	2171	104
954	2173	102
955	2175	100
956	2177	97
957	2179	95
958	2181	93
959	2183	90
960	2185	88
961	2187	86
962	2189	84
963	2191	81
964	2193	79
965	2195	77
966	2197	74
967	2199	72
968	2201	70
969	2203	68
970	2205	65
971	2208	63
972	2210	61
973	2212	59
974	2214	56
975	2216	54
976	2218	52
977	2220	49
978	2223	47
979	2225	45
980	2227	43
981	2230	40
982	2232	38
983	2235	36
984	2237	34
985	2239	31
986	2241	29
987	2244	27
988	2246	24
989	2249	22
990	2251	20
991	2253	18
992	2255	15
993	2258	13
994	2260	11
995	2262	9
996	2265	6
997	2267	4
998	2270	2
999	2272	0
16	11
995	2318	9
996	2320	6
997	2322	4
998	2324	2
999	2326	0
168
966	4795	163
967	4798	158
968	4801	153
969	4803	148
970	4806	143
971	4809	138
972	4813	133
973	4815	128
974	4818	123
975	4820	118
976	4823	113
977	4825	108
978	4829	103
979	4832	98
980	4835	93
981	4838	88
982	4841	83
983	4847	78
984	4850	73
985	4852	68
986	4855	63
987	4857	59
988	4860	54
989	4862	49
990	4866	44
991	4868	39
992	4870	34
993	4873	29
994	4875	24
995	4878	19
996	4880	14
997	4883	9
998	4885	4
999	4889	0
